N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.241396,0.421383,0.078749,0.058272,0.177563,0.006201
10,1.996013,-0.899044,-2.122925,3.984066,0.808280,4.506809
10,0.133633,-0.441352,-0.220715,0.017858,0.194792,0.048715
10,-0.722336,1.058971,0.543280,0.521769,1.121420,0.295153
10,-0.325261,0.127430,0.149679,0.105795,0.016238,0.022404
10,0.059956,-1.974984,-0.017235,0.003595,3.900561,0.000297
10,0.142868,-0.020922,-0.013026,0.020411,0.000438,0.000170
10,-0.106429,1.463549,0.025808,0.011327,2.141974,0.000666
10,0.991064,-0.590495,-0.675724,0.982209,0.348684,0.456603
10,1.229789,-0.780091,-0.993821,1.512380,0.608542,0.987680
10,-0.511072,0.541845,0.159144,0.261195,0.293596,0.025327
10,1.792825,-1.027625,-1.796745,3.214222,1.056014,3.228291
10,-0.571116,0.469832,0.117524,0.326173,0.220742,0.013812
10,-0.449807,-0.163907,0.084820,0.202327,0.026866,0.007194
10,-0.213986,0.259518,0.226411,0.045790,0.067350,0.051262
10,-0.385691,-0.157527,0.056117,0.148758,0.024815,0.003149
10,-0.552935,1.794359,0.143581,0.305737,3.219723,0.020615
10,1.363350,-0.592691,-1.370818,1.858724,0.351283,1.879143
10,-0.469965,1.485422,0.388725,0.220867,2.206479,0.151107
10,0.808636,-0.772143,-0.754626,0.653892,0.596205,0.569461
10,1.220524,-0.833806,-1.014367,1.489679,0.695232,1.028940
10,-0.239366,2.420227,0.107725,0.057296,5.857499,0.011605
10,1.238262,-0.196657,-1.057417,1.533292,0.038674,1.118131
10,-0.141445,0.182871,0.201080,0.020007,0.033442,0.040433
10,0.011247,-0.752319,0.154000,0.000127,0.565985,0.023716
10,4.484449,-0.593059,-8.457102,20.110281,0.351719,71.522575
10,-0.763732,-0.696788,0.171535,0.583287,0.485513,0.029424
10,0.359411,-1.630170,-0.311839,0.129176,2.657454,0.097244
10,-0.073677,-2.264890,-0.018750,0.005428,5.129725,0.000352
10,-0.537960,1.684133,0.262763,0.289401,2.836303,0.069045
10,2.131125,-0.461621,-2.459701,4.541692,0.213094,6.050131
10,1.519383,-0.574741,-2.161231,2.308526,0.330328,4.670920
10,-0.345731,0.656607,0.100014,0.119530,0.431133,0.010003
10,-0.600265,-0.559785,0.097000,0.360318,0.313359,0.009409
10,-0.444397,5.129583,0.050130,0.197488,26.312618,0.002513
10,-0.244952,0.976714,0.096867,0.060002,0.953971,0.009383
10,-1.823260,-0.600282,0.746245,3.324278,0.360338,0.556881
10,-0.412904,8.328679,0.149566,0.170490,69.366891,0.022370
10,1.402653,-0.828186,-1.380436,1.967436,0.685891,1.905604
10,-0.384552,-0.578904,0.162345,0.147880,0.335130,0.026356
10,1.627325,-0.585422,-1.815602,2.648188,0.342719,3.296412
10,-0.482050,1.470731,0.178685,0.232373,2.163049,0.031928
10,0.518276,-0.324598,-0.375823,0.268610,0.105364,0.141243
10,0.033895,0.108978,-0.068211,0.001149,0.011876,0.004653
10,-0.573629,1.241434,0.271902,0.329050,1.541158,0.073931
10,-0.076465,0.207339,0.088817,0.005847,0.042990,0.007888
10,-1.482166,-0.936182,0.324247,2.196816,0.876436,0.105136
10,-0.509176,6.679977,0.107442,0.259260,44.622095,0.011544
10,0.226879,0.094112,-0.131181,0.051474,0.008857,0.017209
10,-0.246888,1.159050,0.100677,0.060954,1.343396,0.010136
10,2.576827,-1.470120,-3.358679,6.640035,2.161253,11.280725
10,0.209287,0.153116,-0.288296,0.043801,0.023444,0.083115
10,0.497620,-0.919788,-0.224572,0.247625,0.846011,0.050433
10,0.924960,-0.721295,-1.010130,0.855551,0.520267,1.020363
10,-0.305526,5.116826,0.050949,0.093346,26.181908,0.002596
10,0.089192,0.431689,-0.171445,0.007955,0.186355,0.029393
10,-1.052300,-1.792159,0.158125,1.107334,3.211835,0.025003
10,-0.737890,0.975534,0.346620,0.544482,0.951667,0.120145
10,-0.517064,1.115941,0.239516,0.267356,1.245324,0.057368
10,0.044969,-0.599607,0.030823,0.002022,0.359528,0.000950
10,0.309996,-0.180521,-0.126177,0.096098,0.032588,0.015921
10,0.428243,-0.142974,-0.326228,0.183392,0.020441,0.106425
10,-0.525383,0.625307,0.194822,0.276027,0.391009,0.037956
10,0.290198,-0.325658,-0.161431,0.084215,0.106053,0.026060
10,-0.255721,0.792358,0.151786,0.065393,0.627832,0.023039
10,-0.486160,0.570688,0.207798,0.236351,0.325685,0.043180
10,-0.277111,2.865624,0.074056,0.076791,8.211801,0.005484
10,1.206748,-0.532289,-1.292242,1.456240,0.283332,1.669889
10,-1.632026,-0.551722,0.603962,2.663507,0.304398,0.364770
10,0.800761,-0.068179,-0.702393,0.641219,0.004648,0.493356
10,2.084389,-0.474038,-2.775353,4.344677,0.224712,7.702586
10,0.071283,0.156224,-0.028005,0.005081,0.024406,0.000784
10,0.005635,0.350145,-0.004828,0.000032,0.122601,0.000023
10,-0.186783,1.543800,0.125416,0.034888,2.383318,0.015729
10,-0.325112,5.287778,0.057609,0.105698,27.960596,0.003319
10,-0.235012,0.558225,0.077375,0.055231,0.311615,0.005987
10,0.476494,0.065142,-0.279173,0.227046,0.004243,0.077938
10,-0.102538,0.520854,0.035165,0.010514,0.271289,0.001237
10,-0.654561,2.148314,0.214167,0.428450,4.615251,0.045867
10,-0.681649,0.896566,0.323025,0.464645,0.803831,0.104345
10,-0.227979,0.974035,0.059917,0.051974,0.948745,0.003590
10,-0.097122,-0.351536,0.202716,0.009433,0.123577,0.041094
10,1.133995,-0.315246,-0.695230,1.285946,0.099380,0.483345
10,-0.514425,-0.591319,0.058316,0.264633,0.349658,0.003401
10,-0.664547,0.994650,0.221763,0.441622,0.989329,0.049179
10,0.277164,-0.080374,-0.319334,0.076820,0.006460,0.101974
